Trace tail: last 500 steps before hitting 5M t-state limit.
Generated 2026-05-10. Full trace: 563808 steps, 5,000,008 t-states, iff1=false at cutoff.
Final PC at cutoff: 0x11E5 (inside RAMTOP-scan loop 2).

At the 5M t-state mark, the CPU is deep in loop 2 (0x11E2-0x11ED, scanning RAM upward).
Loop 2 takes ~4.1M t-states total. This trace is the middle of loop 2.

Extended trace (run-to-EI, 20M t-state limit) shows iff1=true at 5,705,613 t-states = 81.6 frames.

Columns: stepN, PC, opByte, A=, F=, BC=, DE=, HL=, SP=, I=, R=, iff1=, tStates=
638768, 0x11E2, 0xA7, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFE6, SP=0xFFFF, I=0x3F, R=0x18, iff1=false, tStates=5699625
638769, 0x11E3, 0xED, A=0x3F, F=0x3C, BC=0x00FF, DE=0xFFFF, HL=0xFFE6, SP=0xFFFF, I=0x3F, R=0x19, iff1=false, tStates=5699629
638770, 0x11E5, 0x19, A=0x3F, F=0xBB, BC=0x00FF, DE=0xFFFF, HL=0xFFE7, SP=0xFFFF, I=0x3F, R=0x1B, iff1=false, tStates=5699644
638771, 0x11E6, 0x23, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFE6, SP=0xFFFF, I=0x3F, R=0x1C, iff1=false, tStates=5699655
638772, 0x11E7, 0x30, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFE7, SP=0xFFFF, I=0x3F, R=0x1D, iff1=false, tStates=5699661
638773, 0x11E9, 0x35, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFE7, SP=0xFFFF, I=0x3F, R=0x1E, iff1=false, tStates=5699668
638774, 0x11EA, 0x28, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFE7, SP=0xFFFF, I=0x3F, R=0x1F, iff1=false, tStates=5699679
638775, 0x11EC, 0x35, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFE7, SP=0xFFFF, I=0x3F, R=0x20, iff1=false, tStates=5699686
638776, 0x11ED, 0x28, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFE7, SP=0xFFFF, I=0x3F, R=0x21, iff1=false, tStates=5699697
638777, 0x11E2, 0xA7, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFE7, SP=0xFFFF, I=0x3F, R=0x22, iff1=false, tStates=5699709
638778, 0x11E3, 0xED, A=0x3F, F=0x3C, BC=0x00FF, DE=0xFFFF, HL=0xFFE7, SP=0xFFFF, I=0x3F, R=0x23, iff1=false, tStates=5699713
638779, 0x11E5, 0x19, A=0x3F, F=0xBB, BC=0x00FF, DE=0xFFFF, HL=0xFFE8, SP=0xFFFF, I=0x3F, R=0x25, iff1=false, tStates=5699728
638780, 0x11E6, 0x23, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFE7, SP=0xFFFF, I=0x3F, R=0x26, iff1=false, tStates=5699739
638781, 0x11E7, 0x30, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFE8, SP=0xFFFF, I=0x3F, R=0x27, iff1=false, tStates=5699745
638782, 0x11E9, 0x35, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFE8, SP=0xFFFF, I=0x3F, R=0x28, iff1=false, tStates=5699752
638783, 0x11EA, 0x28, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFE8, SP=0xFFFF, I=0x3F, R=0x29, iff1=false, tStates=5699763
638784, 0x11EC, 0x35, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFE8, SP=0xFFFF, I=0x3F, R=0x2A, iff1=false, tStates=5699770
638785, 0x11ED, 0x28, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFE8, SP=0xFFFF, I=0x3F, R=0x2B, iff1=false, tStates=5699781
638786, 0x11E2, 0xA7, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFE8, SP=0xFFFF, I=0x3F, R=0x2C, iff1=false, tStates=5699793
638787, 0x11E3, 0xED, A=0x3F, F=0x3C, BC=0x00FF, DE=0xFFFF, HL=0xFFE8, SP=0xFFFF, I=0x3F, R=0x2D, iff1=false, tStates=5699797
638788, 0x11E5, 0x19, A=0x3F, F=0xBB, BC=0x00FF, DE=0xFFFF, HL=0xFFE9, SP=0xFFFF, I=0x3F, R=0x2F, iff1=false, tStates=5699812
638789, 0x11E6, 0x23, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFE8, SP=0xFFFF, I=0x3F, R=0x30, iff1=false, tStates=5699823
638790, 0x11E7, 0x30, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFE9, SP=0xFFFF, I=0x3F, R=0x31, iff1=false, tStates=5699829
638791, 0x11E9, 0x35, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFE9, SP=0xFFFF, I=0x3F, R=0x32, iff1=false, tStates=5699836
638792, 0x11EA, 0x28, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFE9, SP=0xFFFF, I=0x3F, R=0x33, iff1=false, tStates=5699847
638793, 0x11EC, 0x35, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFE9, SP=0xFFFF, I=0x3F, R=0x34, iff1=false, tStates=5699854
638794, 0x11ED, 0x28, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFE9, SP=0xFFFF, I=0x3F, R=0x35, iff1=false, tStates=5699865
638795, 0x11E2, 0xA7, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFE9, SP=0xFFFF, I=0x3F, R=0x36, iff1=false, tStates=5699877
638796, 0x11E3, 0xED, A=0x3F, F=0x3C, BC=0x00FF, DE=0xFFFF, HL=0xFFE9, SP=0xFFFF, I=0x3F, R=0x37, iff1=false, tStates=5699881
638797, 0x11E5, 0x19, A=0x3F, F=0xBB, BC=0x00FF, DE=0xFFFF, HL=0xFFEA, SP=0xFFFF, I=0x3F, R=0x39, iff1=false, tStates=5699896
638798, 0x11E6, 0x23, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFE9, SP=0xFFFF, I=0x3F, R=0x3A, iff1=false, tStates=5699907
638799, 0x11E7, 0x30, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFEA, SP=0xFFFF, I=0x3F, R=0x3B, iff1=false, tStates=5699913
638800, 0x11E9, 0x35, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFEA, SP=0xFFFF, I=0x3F, R=0x3C, iff1=false, tStates=5699920
638801, 0x11EA, 0x28, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFEA, SP=0xFFFF, I=0x3F, R=0x3D, iff1=false, tStates=5699931
638802, 0x11EC, 0x35, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFEA, SP=0xFFFF, I=0x3F, R=0x3E, iff1=false, tStates=5699938
638803, 0x11ED, 0x28, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFEA, SP=0xFFFF, I=0x3F, R=0x3F, iff1=false, tStates=5699949
